fuel,km_drove,location,model,owner,price,url
Petrol,65000 ,Mumbai,Porsche Boxster S 2012,First Owner,4500000,https://droom.in/product/porsche-boxster-s-2012-5f27edd106724bb345c293b4
Diesel,21452 ,Bangalore,Toyota Innova Crysta 2.8 ZX AT 7 STR 2017,First Owner,1974132,https://droom.in/product/toyota-innova-crysta-28-zx-at-7-str-2017-5f3121ce856d4b8217b38b42
Diesel,25698 ,Ludhiana,Maruti Suzuki Swift VDi ABS BS IV 2018,First Owner,675000,https://droom.in/product/maruti-suzuki-swift-vdi-abs-bs-iv-2018-5f3131ea68865d53159b4563
Diesel,69000 ,Jaipur,Fiat Avventura EMOTION MULTIJET 1.3 2018,First Owner,600000,https://droom.in/product/fiat-avventura-emotion-multijet-13-2018-5f2e68a0c68a5d420b43fe75
Diesel,90000 ,Jaipur,Toyota Innova 2.5 GX 7 STR BS III 2012,First Owner,650000,https://droom.in/product/toyota-innova-25-gx-7-str-bs-iii-2012-5f2e648c64865d150ee3ae4b
Diesel,96000 ,Jaipur,Ford EcoSport Trend 1.5L TDCi 2019,First Owner,700000,https://droom.in/product/ford-ecosport-trend-15l-tdci-2019-5f2e527164865d950ae3aee0
Diesel,23000 ,Pune,Audi A4 35 TDI Premium Sport 2014,First Owner,2821300,https://droom.in/product/audi-a4-35-tdi-premium-sport-2014-5b4f1b1601865de80cb1dea7
Diesel,39985 ,Bangalore,Toyota Innova Crysta 2.4 G 7 STR 2018,First Owner,1420079,https://droom.in/product/toyota-innova-crysta-24-g-7-str-2018-5f2d1524878a5d9c0881238c
Petrol,15000 ,Thane,Hyundai Grand i10 Sportz 1.2 Kappa VTVT 2018,First Owner,495000,https://droom.in/product/hyundai-grand-i10-sportz-12-kappa-vtvt-2018-5f3140c1856d4bcc1cb38ab3
Diesel,14500 ,Pune,Jaguar XF 2.2 Diesel Luxury 2013,First Owner,2350000,https://droom.in/product/jaguar-xf-22-diesel-luxury-2013-5f30abd638f4ac0f0957bfe1
Diesel,59000 ,Delhi,Volkswagen Polo HIGHLINE1.2L DIESEL 2012,First Owner,308000,https://droom.in/product/volkswagen-polo-highline12l-diesel-2012-5f30c2cbccf3ac0208e1e75e
Diesel,12000 ,Jaipur,Toyota Innova Crysta 2.4 G 7 STR 2017,First Owner,1600000,https://droom.in/product/toyota-innova-crysta-24-g-7-str-2017-5f30e5f806724b7f21b38b0b
Diesel,87000 ,Jaipur,Toyota Innova Crysta 2.8 ZX AT 7 STR 2016,First Owner,1700000,https://droom.in/product/toyota-innova-crysta-28-zx-at-7-str-2016-5f30eb1506724b0d2ab38aee
Diesel,37485 ,Delhi,Toyota Fortuner 2.8 4x4 AT 2019,First Owner,3450000,https://droom.in/product/toyota-fortuner-28-4x4-at-2019-5f318e4727865d4b088b457f
Diesel,47240 ,Delhi,Toyota Fortuner 2.8 4x4 AT 2019,First Owner,3450000,https://droom.in/product/toyota-fortuner-28-4x4-at-2019-5f318cba08875d7f068b4568
Diesel,65428 ,Delhi,Toyota Fortuner Sigma 4 2017,First Owner,2450000,https://droom.in/product/toyota-fortuner-sigma-4-2017-5f318f7706724b4f60b38b12
Diesel,69458 ,Delhi,Toyota Fortuner 2.8 4x2 AT 2017,First Owner,2550000,https://droom.in/product/toyota-fortuner-28-4x2-at-2017-5f30cb24ca8a5d8309a0e471
Diesel,98569 ,Ludhiana,Toyota Innova 2.5 G 8 STR BS III 2012,First Owner,575000,https://droom.in/product/toyota-innova-25-g-8-str-bs-iii-2012-5f31462b608a5d6009b603c6
Diesel,98569 ,Ludhiana,Toyota Innova 2.5 GX 7 STR BS III 2011,First Owner,575000,https://droom.in/product/toyota-innova-25-gx-7-str-bs-iii-2011-5f3129e0f6f3aca1068b4577
Diesel,98745 ,Ludhiana,Toyota Innova 2.5 E PS 7 STR BS IV 2010,First Owner,425000,https://droom.in/product/toyota-innova-25-e-ps-7-str-bs-iv-2010-5f3140cb68865db5159b456f
Diesel,32659 ,Ludhiana,Hyundai Creta 1.6 SX AT Diesel 2017,First Owner,1200000,https://droom.in/product/hyundai-creta-16-sx-at-diesel-2017-5f3142c206724b5448b38ae5
Diesel,62000 ,Jaipur,Audi Q5 2.0 TDI 2012,First Owner,1600000,https://droom.in/product/audi-q5-20-tdi-2012-5f30d41068865dd1109b4579
Diesel,25000 ,Jaipur,Audi A4 35 TDI Technology 2015,First Owner,2600000,https://droom.in/product/audi-a4-35-tdi-technology-2015-5f30cea768865d65119b4557
Petrol,46000 ,Delhi,Skoda Rapid 1.6 MPI STYLE AT 2017,First Owner,850000,https://droom.in/product/skoda-rapid-16-mpi-style-at-2017-5f31247bca8a5de70da0e464
Petrol,4000 ,Chandigarh,Maruti Suzuki Swift VXi AGS BS6 2020,First Owner,606000,https://droom.in/product/maruti-suzuki-swift-vxi-ags-bs6-2020-5f309b59ca8a5d0908a0e45f
Diesel,12452 ,Bangalore,Renault Duster 85 PS RXE DIESEL ADVENTURE 2018,First Owner,837277,https://droom.in/product/renault-duster-85-ps-rxe-diesel-adventure-2018-5f2e7e8f20724ba4068b456e
Diesel,12000 ,Delhi,Audi A6 35 TDI Premium Plus 2014,First Owner,3050000,https://droom.in/product/audi-a6-35-tdi-premium-plus-2014-5f2d9b7128875dc80c1e9dd6
Diesel,60000 ,Delhi,Maruti Suzuki Swift VDi 2014,First Owner,375000,https://droom.in/product/maruti-suzuki-swift-vdi-2014-5e6a5ce5846e4b7d068b459c
Diesel,38000 ,Mumbai,Jeep Grand Cherokee Limited 2016,First Owner,5000000,https://droom.in/product/jeep-grand-cherokee-limited-2016-5f2a8e74a06d4bb8068b45c3
Diesel,53468 ,Karim Nagar,Mercedes-Benz C-Class 250 CDi 2011,Second Owner,1500000,https://droom.in/product/mercedes-benz-c-class-250-cdi-2011-5e6b5676e0714bfd068b4576
Diesel,75862 ,Muktsar,Toyota Fortuner 3.0 MT 4X4 2010,First Owner,845000,https://droom.in/product/toyota-fortuner-30-mt-4x4-2010-5f2e88357880ade008bca225
Diesel,21225 ,Bangalore,Toyota Innova Crysta 2.4 GX 8 STR 2019,First Owner,1601996,https://droom.in/product/toyota-innova-crysta-24-gx-8-str-2019-5f2e8734c68a5d7f0b43febf
Diesel,16445 ,Bangalore,Hyundai Creta SX 1.6 (O) Executive CRDi 2018,First Owner,1455641,https://droom.in/product/hyundai-creta-sx-16-o-executive-crdi-2018-5f2e72927880ade008bca1ef
Petrol,3500 ,Delhi,Hyundai i20 Magna 1.2 2010,First Owner,215000,https://droom.in/product/hyundai-i20-magna-12-2010-5f2cfbff02865d6b0a1094db
Petrol,12210 ,Aurangabad,Mercedes-Benz C-Class C 200 CGI Elegance 2016,First Owner,2100000,https://droom.in/product/mercedes-benz-c-class-c-200-cgi-elegance-2016-5f278b55e5865d9309e74305
Diesel,98000 ,Jaipur,Toyota Innova Crysta 2.8 Z AT 7 STR 2016,First Owner,1800000,https://droom.in/product/toyota-innova-crysta-28-z-at-7-str-2016-5f30eef664865d230818b3af
Diesel,20120 ,Bangalore,Toyota Innova Crysta 2.4 VX 7 STR 2018,First Owner,1874171,https://droom.in/product/toyota-innova-crysta-24-vx-7-str-2018-5f326eacfb80ad280b011963
Diesel,98500 ,Delhi,Toyota Fortuner 2.8 4x2 AT BS6 2020,First Owner,3500000,https://droom.in/product/toyota-fortuner-28-4x2-at-bs6-2020-5f32db50e38a5d33078b4597
Diesel,65000 ,Delhi,Toyota Fortuner Sigma 4 2019,First Owner,3300000,https://droom.in/product/toyota-fortuner-sigma-4-2019-5f32d86c826d4b9f068b4576
Diesel,85000 ,Delhi,Toyota Fortuner 2.8 4x4 AT 2019,First Owner,3500000,https://droom.in/product/toyota-fortuner-28-4x4-at-2019-5f32d79fc3865d86068b456a
Diesel,65000 ,Delhi,Toyota Fortuner Sigma 4 2019,First Owner,3500000,https://droom.in/product/toyota-fortuner-sigma-4-2019-5f32d5b9e38a5d8c078b4581
Diesel,55000 ,Delhi,Toyota Fortuner 2.8 4x4 AT 2018,First Owner,3500000,https://droom.in/product/toyota-fortuner-28-4x4-at-2018-5f32d6d8c3865d8d068b456b
Diesel,98000 ,Jaipur,Toyota Fortuner 2.8 4x4 AT 2017,First Owner,2300000,https://droom.in/product/toyota-fortuner-28-4x4-at-2017-5f3288977e6d4ba6068b4569
Diesel,9000 ,Jaipur,Toyota Fortuner 3.0 4x4 AT 2017,First Owner,2300000,https://droom.in/product/toyota-fortuner-30-4x4-at-2017-5f321dd530f4ac8d09ed7115
